image,sp,sr,orig_edges,ms_edges,jaccard,out_filtered,out_edges
canguru.bmp,30,40,45009,6522,0.09904664405912086,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp30_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp30_sr40_edges.png
cavalo.bmp,5,10,53249,52820,0.8599133774044784,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp5_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp5_sr10_edges.png
cavalo.bmp,5,20,53249,47396,0.6773328000266653,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp5_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp5_sr20_edges.png
cavalo.bmp,5,30,53249,32659,0.43206254479988,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp5_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp5_sr30_edges.png
cavalo.bmp,5,40,53249,19963,0.26258062290897805,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp5_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp5_sr40_edges.png
cavalo.bmp,10,10,53249,52846,0.8543862408893084,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp10_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp10_sr10_edges.png
cavalo.bmp,10,20,53249,46173,0.6588580772182734,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp10_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp10_sr20_edges.png
cavalo.bmp,10,30,53249,28747,0.38093874732640587,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp10_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp10_sr30_edges.png
cavalo.bmp,10,40,53249,16940,0.2276813824949276,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp10_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp10_sr40_edges.png
cavalo.bmp,20,10,53249,52869,0.8595987032331551,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp20_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp20_sr10_edges.png
cavalo.bmp,20,20,53249,45929,0.6546764990490174,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp20_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp20_sr20_edges.png
cavalo.bmp,20,30,53249,26473,0.3566238407215179,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp20_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp20_sr30_edges.png
cavalo.bmp,20,40,53249,16250,0.2180199442682136,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp20_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp20_sr40_edges.png
cavalo.bmp,30,10,53249,52792,0.8609234333046698,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp30_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\cavalo\cavalo_ms_sp30_sr10_edges.png
